# max n_cols  : 8197
# min n_cols  : 8
# growth rate : 1.12517

rows columns Fujimoto 0 float  CUBLAS float  
   8       8   0.000025999999 0.000023550000 
   9       8   0.000022950000 0.000022250000 
   8       9   0.000023050000 0.000022100000 
  10       8   0.000023100001 0.000022200000 
   8      10   0.000023300000 0.000022050000 
  11       8   0.000023050000 0.000023250000 
   8      11   0.000023300000 0.000028100001 
  12       8   0.000023300000 0.000022350000 
   8      12   0.000023800001 0.000022650000 
  13       8   0.000023250000 0.000021950000 
   8      13   0.000023350000 0.000023500000 
  14       8   0.000024600001 0.000022150000 
   8      14   0.000023150000 0.000022050000 
  15       8   0.000023050000 0.000022100000 
   8      15   0.000023150000 0.000022050000 
  16       8   0.000023150000 0.000022600000 
   8      16   0.000023199999 0.000021900000 
  18       8   0.000023600000 0.000021900000 
   8      18   0.000023500000 0.000022450000 
  20       8   0.000023649999 0.000022150000 
   8      20   0.000024950001 0.000022300000 
  22       8   0.000024550000 0.000021900000 
   8      22   0.000023649999 0.000022650000 
  24       8   0.000023750000 0.000021850000 
   8      24   0.000023600000 0.000070300000 
  27       8   0.000023600000 0.000022200000 
   8      27   0.000023700000 0.000022200000 
  30       8   0.000023549999 0.000022150000 
   8      30   0.000023500000 0.000028350000 
  33       8   0.000023500000 0.000022200000 
   8      33   0.000023300000 0.000023050000 
  37       8   0.000024349999 0.000028250000 
   8      37   0.000023750000 0.000023650000 
  41       8   0.000023750000 0.000022250000 
   8      41   0.000023700000 0.000024150000 
  46       8   0.000023700000 0.000022200000 
   8      46   0.000023649999 0.000023050000 
  51       8   0.000023649999 0.000022650000 
   8      51   0.000023750000 0.000023950000 
  57       8   0.000023700000 0.000021950000 
   8      57   0.000023600000 0.000023850000 
  64       8   0.000024100000 0.000022000000 
   8      64   0.000023899999 0.000022550000 
  72       8   0.000023649999 0.000022000000 
   8      72   0.000025999999 0.000023200000 
  81       8   0.000023600000 0.000022400000 
   8      81   0.000024300000 0.000023300000 
  91       8   0.000023999999 0.000022500000 
   8      91   0.000024349999 0.000023600000 
 102       8   0.000023800001 0.000022150000 
   8     102   0.000073850000 0.000023850000 
 114       8   0.000023600000 0.000022300000 
   8     114   0.000024100000 0.000024600000 
 128       8   0.000023450001 0.000022600000 
   8     128   0.000024050000 0.000023450000 
 144       8   0.000023500000 0.000022450000 
   8     144   0.000024900000 0.000025200000 
 162       8   0.000023700000 0.000022300000 
   8     162   0.000024600001 0.000026100000 
 182       8   0.000024300000 0.000022300000 
   8     182   0.000024800000 0.000025350000 
 204       8   0.000023700000 0.000022200000 
   8     204   0.000025500000 0.000024850000 
 229       8   0.000025049999 0.000022550000 
   8     229   0.000025600001 0.000026050001 
 257       8   0.000024699999 0.000022850000 
   8     257   0.000026249999 0.000026250000 
 289       8   0.000024400000 0.000022800000 
   8     289   0.000028099999 0.000027250001 
 325       8   0.000024500000 0.000023550000 
   8     325   0.000026050001 0.000027450001 
 365       8   0.000024450000 0.000023350000 
   8     365   0.000026699999 0.000027900001 
 410       8   0.000024950001 0.000022800000 
   8     410   0.000028850001 0.000028750000 
 461       8   0.000025299999 0.000072850002 
   8     461   0.000030149999 0.000029350000 
 518       8   0.000025299999 0.000023350000 
   8     518   0.000027649999 0.000030449999 
 582       8   0.000025799999 0.000023550000 
   8     582   0.000028000000 0.000039100000 
 654       8   0.000025600001 0.000025200000 
   8     654   0.000028549999 0.000034700001 
 735       8   0.000026600000 0.000024150000 
   8     735   0.000029350001 0.000034350001 
 826       8   0.000029249999 0.000025350000 
   8     826   0.000029600000 0.000037049999 
 929       8   0.000026650000 0.000024150000 
   8     929   0.000030450001 0.000036799999 
1045       8   0.000027100000 0.000025050000 
   8    1045   0.000031500000 0.000040200000 
1175       8   0.000028850001 0.000026100001 
   8    1175   0.000032749999 0.000041600000 
1322       8   0.000028549999 0.000027000001 
   8    1322   0.000033149999 0.000044450000 
1487       8   0.000028600001 0.000027000001 
   8    1487   0.000035100001 0.000046800001 
1673       8   0.000030100000 0.000027650001 
   8    1673   0.000036550000 0.000050050000 
1882       8   0.000031500000 0.000028800000 
   8    1882   0.000036950001 0.000053950000 
2117       8   0.000084249997 0.000030399999 
   8    2117   0.000038600001 0.000056700001 
2381       8   0.000033350000 0.000031050000 
   8    2381   0.000041150001 0.000060449999 
2679       8   0.000035550001 0.000030299999 
   8    2679   0.000043200001 0.000067300002 
3014       8   0.000037099999 0.000032549999 
   8    3014   0.000045850000 0.000071849999 
3391       8   0.000037750000 0.000032450001 
   8    3391   0.000047700000 0.000079800001 
3815       8   0.000039649999 0.000034300001 
   8    3815   0.000051999998 0.000083699998 
4292       8   0.000039899999 0.000037649999 
   8    4292   0.000054750001 0.000092550001 
4829       8   0.000041100001 0.000039099999 
   8    4829   0.000058950001 0.000103350000 
5433       8   0.000043900001 0.000041950000 
   8    5433   0.000062000000 0.000110800000 
6113       8   0.000047499999 0.000044800001 
   8    6113   0.000067199999 0.000119000000 
6878       8   0.000049700001 0.000051550001 
   8    6878   0.000073449999 0.000137349998 
7738       8   0.000053899997 0.000053900000 
