sigma noisy errnoisy deconv errdeconv
1 5.4378 0.017543 2.1413 1.1248
2 5.6937 0.015505 2.5947 0.014062
3 5.7455 0.031647 3.077 0.0087461
4 5.874 0.027763 3.5898 0.0062019
5 5.8354 0.017338 5.7739 0.061871
6 6.071 0.038353 6.0875 0.019793
7 6.2845 0.028826 6.2834 0.026895
8 6.4958 0.089806 6.2725 0.069495
9 6.5469 0.047539 6.5875 0.02775
10 6.9252 0.14618 6.853 0.1698
11 6.9504 0.18326 6.9626 0.041508
12 7.1153 0.058026 7.0058 0.10004
13 7.4035 0.036906 7.3862 0.045126
14 7.384 0.032442 7.3735 0.029685
15 7.5116 0.21001 7.4696 0.30366
16 8.1011 0.055059 8.097 0.033266
17 7.9431 0.11346 8.0636 0.11479
18 7.8306 0.050397 8.3382 0.32628
19 8.1989 0.15497 8.0183 0.17236
20 8.2824 0.10663 8.2064 0.04952
